model_name,test_loss,test_accuracy,best_val_accuracy,training_seconds,checkpoint_path,class_names,history
efficientnet_b0,0.5246480151459023,1.0,1.0,239.97,models/efficientnet_b0_best.pth,"['headphones', 'keyboard', 'mug']","{'train_loss': [1.1280032926135592, 0.7396042810546027, 0.4179072181383769, 0.22861369450887045, 0.2104531791475084, 0.13938656118181017, 0.20295900768703884, 0.19521674844953749], 'train_acc': [0.4444444444444444, 0.9444444444444444, 1.0, 1.0, 0.9444444444444444, 1.0, 0.8888888888888888, 0.9444444444444444], 'val_loss': [0.9582045078277588, 0.7219453652699789, 0.5619066291385226, 0.5208160347408719, 0.48293089866638184, 0.4406796296437581, 0.4129920932981703, 0.40083498424953884], 'val_acc': [0.6666666666666666, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}"
resnet18,1.0078938669628568,0.7314814814814815,0.7222222222222222,217.08,models/resnet18_best.pth,"['headphones', 'keyboard', 'mug']","{'train_loss': [1.1285929017596774, 1.087389389673869, 1.0230423874325223, 1.0226750903659396, 1.0068563554022048, 1.0170421600341797, 0.936825712521871, 0.9167578882641263], 'train_acc': [0.2777777777777778, 0.4444444444444444, 0.6666666666666666, 0.7222222222222222, 0.6111111111111112, 0.6666666666666666, 0.9444444444444444, 0.8888888888888888], 'val_loss': [1.0853393607669406, 1.050701962576972, 1.0188160207536485, 1.0218476984235976, 1.0276139974594116, 1.028258548842536, 1.0126447942521837, 1.0153911378648546], 'val_acc': [0.3888888888888889, 0.6666666666666666, 0.7222222222222222, 0.7222222222222222, 0.6666666666666666, 0.7222222222222222, 0.7222222222222222, 0.6666666666666666]}"
