model_name,test_loss,test_accuracy,best_val_accuracy,training_seconds,checkpoint_path,class_names,history,batch_size,lr_head
efficientnet_b0,0.5666999949349297,0.9907407407407407,1.0,175.76,models/efficientnet_b0_best.pth,"['headphones', 'keyboard', 'mug']","{'train_loss': [1.063641866048177, 0.6554832326041328, 0.4359348151418898, 0.3409655491511027, 0.19325678216086495, 0.26243285006946987], 'train_acc': [0.3888888888888889, 0.9444444444444444, 0.9444444444444444, 1.0, 1.0, 1.0], 'val_loss': [0.8365740246242948, 0.5872458749347262, 0.5222241878509521, 0.4603663815392388, 0.42758546935187447, 0.39620009395811295], 'val_acc': [0.8333333333333334, 1.0, 0.9444444444444444, 1.0, 1.0, 1.0]}",8,0.001
efficientnet_b0,0.661117864979638,0.9814814814814815,0.9444444444444444,191.8,models/efficientnet_b0_best.pth,"['headphones', 'keyboard', 'mug']","{'train_loss': [1.0724494987063937, 0.9853275749418471, 0.8593668142954508, 0.7398225201500787, 0.5828577544954088, 0.5110345350371467], 'train_acc': [0.4444444444444444, 0.5555555555555556, 0.8333333333333334, 1.0, 0.9444444444444444, 1.0], 'val_loss': [0.9727056821187338, 0.8955260515213013, 0.8426382939020792, 0.7863884369532267, 0.7381815380520291, 0.7022730376985338], 'val_acc': [0.7222222222222222, 0.8333333333333334, 0.8888888888888888, 0.8888888888888888, 0.9444444444444444, 0.9444444444444444]}",16,0.0003
efficientnet_b0,0.6030201647016737,0.9722222222222222,1.0,195.67,models/efficientnet_b0_best.pth,"['headphones', 'keyboard', 'mug']","{'train_loss': [1.0695748064253066, 0.7142301864094205, 0.4619402090708415, 0.37726244661543107, 0.27980148792266846, 0.22204444805781046], 'train_acc': [0.3888888888888889, 1.0, 1.0, 0.9444444444444444, 1.0, 1.0], 'val_loss': [0.8659358554416232, 0.6621784038013883, 0.6139923002984788, 0.5522906382878622, 0.503724733988444, 0.47821762826707626], 'val_acc': [0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0]}",16,0.001
efficientnet_b0,0.681699448161655,0.9444444444444444,0.9444444444444444,174.99,models/efficientnet_b0_best.pth,"['headphones', 'keyboard', 'mug']","{'train_loss': [1.0599220328860812, 0.9781792561213175, 0.8277827898661295, 0.7074788014094034, 0.5248160362243652, 0.5990882648362054], 'train_acc': [0.5, 0.6111111111111112, 0.8888888888888888, 0.9444444444444444, 1.0, 0.9444444444444444], 'val_loss': [1.078219519721137, 0.9874981774224175, 0.9144459035661485, 0.823178403907352, 0.7433231406741672, 0.6905087894863553], 'val_acc': [0.4444444444444444, 0.6111111111111112, 0.8333333333333334, 0.8888888888888888, 0.9444444444444444, 0.9444444444444444]}",8,0.0003
resnet18,0.9896190409307126,0.7870370370370371,0.7222222222222222,164.21,models/resnet18_best.pth,"['headphones', 'keyboard', 'mug']","{'train_loss': [1.0973936716715496, 1.0723894437154133, 1.0101908776495192, 0.9806700150171915, 0.9585214191012912, 0.9895666042963663], 'train_acc': [0.3333333333333333, 0.3333333333333333, 0.7222222222222222, 0.6666666666666666, 0.7222222222222222, 0.6666666666666666], 'val_loss': [1.0675646993849013, 1.0293134583367243, 1.0189836819966633, 1.0233731269836426, 1.027818997701009, 1.011707862218221], 'val_acc': [0.3888888888888889, 0.6666666666666666, 0.6666666666666666, 0.6111111111111112, 0.6111111111111112, 0.7222222222222222]}",8,0.001
resnet18,1.0053279642705564,0.7222222222222222,0.5,161.63,models/resnet18_best.pth,"['headphones', 'keyboard', 'mug']","{'train_loss': [1.0753682321972318, 1.0600517061021593, 1.069359752866957, 1.0377186404334173, 0.975262271033393, 0.9885639084710015], 'train_acc': [0.3888888888888889, 0.5, 0.3333333333333333, 0.6111111111111112, 0.7222222222222222, 0.7222222222222222], 'val_loss': [1.0916859176423814, 1.0834266477160983, 1.069089737203386, 1.061760875913832, 1.0432228843371074, 1.035134447945489], 'val_acc': [0.2777777777777778, 0.3888888888888889, 0.3333333333333333, 0.3333333333333333, 0.3888888888888889, 0.5]}",8,0.0003
resnet18,1.0298298641487404,0.6481481481481481,0.7777777777777778,167.67,models/resnet18_best.pth,"['headphones', 'keyboard', 'mug']","{'train_loss': [1.107793304655287, 1.0402398374345567, 1.0451416704389784, 0.9883201652103, 0.9649409055709839, 0.9657019376754761], 'train_acc': [0.3888888888888889, 0.6111111111111112, 0.6111111111111112, 0.6111111111111112, 0.7777777777777778, 0.7777777777777778], 'val_loss': [1.1000210179222956, 1.0625027550591364, 1.0357464684380426, 1.0244989395141602, 1.0073453452852037, 0.9990172386169434], 'val_acc': [0.2222222222222222, 0.3888888888888889, 0.5, 0.5, 0.5555555555555556, 0.7777777777777778]}",16,0.001
resnet18,1.0554556140193232,0.5185185185185185,0.5555555555555556,165.96,models/resnet18_best.pth,"['headphones', 'keyboard', 'mug']","{'train_loss': [1.0966096454196506, 1.0615930689705744, 1.0267743402057223, 1.0181341237492032, 1.0194271670447455, 1.00273331006368], 'train_acc': [0.2777777777777778, 0.5, 0.5, 0.5555555555555556, 0.5555555555555556, 0.4444444444444444], 'val_loss': [1.0476304690043132, 1.0362078878614638, 1.022731516096327, 1.019600921207004, 1.010318888558282, 1.0060758458243475], 'val_acc': [0.4444444444444444, 0.4444444444444444, 0.5555555555555556, 0.5, 0.5555555555555556, 0.5555555555555556]}",16,0.0003
